景点名称,景点经度,景点纬度,景点城市,点评数量,点评数量排名_当前城市,点评数量排名_全国,places,position,wgs_longitude,wgs_latitude
磁器口古镇,106.4500028,29.58143028,重庆,10001~20000,1,28,"磁器口古镇内,龙隐洞西158米",沙坪坝区,106.4500028,29.58143028
洪崖洞民俗风貌区,106.5783425,29.56193794,重庆,5001~10000,2,66,"重庆洪崖洞内,洪崖滴翠附近19米",渝中区,106.5783425,29.56193794
武隆,107.7534968,29.31911305,重庆,5001~10000,3,99,佳兴窗帘南247米,武隆区,107.7534968,29.31911305
武隆天生三桥,107.8051209,29.43358692,重庆,5001~10000,4,109,"天生三桥内,鲤鱼跃龙门东南168米",武隆区,107.8051209,29.43358692
长江索道,106.5828,29.55774016,重庆,1001~5000,5,172,重庆长江索道北站附近9米,渝中区,106.5828,29.55774016
解放碑步行街,106.5771606,29.55729845,重庆,1001~5000,6,173,"解放碑步行街内,人民解放纪念碑内0米",渝中区,106.5771606,29.55729845
万州大瀑布,108.2568121,30.65707764,重庆,1001~5000,7,323,"万州大瀑布景区内,神秘石刻附近32米",万州区,108.2568121,30.65707764
大足石刻,105.76976,29.74675675,重庆,1001~5000,8,390,铁厂新村东南345米,大足区,105.76976,29.74675675
黑山谷风景区,106.9978157,28.88777491,重庆,1001~5000,9,404,"黑山谷风景区内,黑山森林假日西447米",綦江区,106.9978157,28.88777491
龙水峡地缝,107.7918995,29.40265458,重庆,1001~5000,10,444,"龙水峡地缝内,时空隧道附近6米",武隆区,107.7918995,29.40265458
仙女山国家森林公园,107.7389386,29.49718596,重庆,1001~5000,11,470,"仙女山国家森林公园内,仙湖林韵东北120米",武隆区,107.7389386,29.49718596
朝天门广场,106.5880033,29.56718436,重庆,1001~5000,12,485,"重庆朝天门广场内,重庆规划展览馆来福士体验中心北90米",渝中区,106.5880033,29.56718436
武隆喀斯特旅游区,107.7681209,29.41768058,重庆,1001~5000,13,654,"武隆喀斯特旅游仙女山游客中心内,石头城附近28米",武隆区,107.7681209,29.41768058
南山一棵树观景台,106.6033081,29.54581602,重庆,501~1000,14,818,"南山一棵树景区内,观景台东北133米",南岸区,106.6033081,29.54581602
三峡博物馆,106.5503822,29.56213628,重庆,501~1000,15,837,"重庆中国三峡博物馆内,历代钱币厅附近26米",渝中区,106.5503822,29.56213628
重庆园博园,106.5540151,29.68008667,重庆,501~1000,16,890,"重庆园博园内,濯花水榭北54米",渝北区,106.5540151,29.68008667
小寨天坑风景区,109.4754593,30.74484714,重庆,501~1000,17,905,"天坑地缝国家重点风景名胜区内,小寨天坑风景区内0米",奉节县,109.4754593,30.74484714
渣滓洞,106.433464,29.58523725,重庆,501~1000,18,912,"歌乐山烈士陵园内,渣滓洞内0米",沙坪坝区,106.433464,29.58523725
人民大礼堂,106.5541098,29.56163644,重庆,501~1000,19,960,"重庆市人民大礼堂内,重庆大礼堂酒店西62米",渝中区,106.5541098,29.56163644
芙蓉洞,107.909777,29.21955999,重庆,501~1000,20,1003,芙蓉睡佛南730米,武隆区,107.909777,29.21955999
云阳龙缸国家地质公园,109.0107455,30.67742215,重庆,501~1000,21,1013,"龙缸景区内,调脸包北108米",云阳县,109.0107455,30.67742215
丰都鬼城名山景区,107.7258759,29.88607218,重庆,501~1000,22,1039,"丰都鬼城-名山景区内,丰都鬼城名山景区附近26米",丰都县,107.7258759,29.88607218
白帝城.瞿塘峡景区,109.575403,31.04101838,重庆,501~1000,23,1067,"重庆奉节白帝城・瞿塘峡景区内,白帝城附近25米",奉节县,109.575403,31.04101838
洋人街,106.6016326,29.6020553,重庆,501~1000,24,1102,翰驹精致生活超市西北124米,南岸区,106.6016326,29.6020553
重庆动物园,106.5060528,29.50352535,重庆,501~1000,25,1178,"重庆动物园内,梅花鹿东59米",九龙坡区,106.5060528,29.50352535
湖广会馆,106.5867872,29.55784562,重庆,501~1000,26,1206,"湖广会馆内,祭祖堂附近21米",渝中区,106.5867872,29.55784562
白公馆,106.4321602,29.57667491,重庆,501~1000,27,1235,"歌乐山烈士陵园内,白公馆内0米",沙坪坝区,106.4321602,29.57667491
金佛山,107.1273921,29.04924668,重庆,501~1000,28,1247,金佛山国家重点风景名胜区西66米,南川区,107.1273921,29.04924668
重庆好吃街,106.5767614,29.55817835,重庆,501~1000,29,1251,"解放碑步行街内,重庆时代广场内0米",渝中区,106.5767614,29.55817835
四面山,106.390883,28.616368,重庆,251~500,30,1291,四面山国家级风景名胜区附近0米,江津区,106.390883,28.616368
观音桥步行街,106.532004,29.57478206,重庆,251~500,31,1358,新世界百货西100米,江北区,106.532004,29.57478206
古佛洞,107.1935193,29.03046655,重庆,251~500,32,1365,普渡舟西61米,南川区,107.1935193,29.03046655
巫山小三峡,109.888261,31.08054467,重庆,251~500,33,1390,巫山小三峡附近25米,巫山县,109.888261,31.08054467
武陵山大裂谷,107.579186,29.48996008,重庆,251~500,34,1418,"武陵山大裂谷景区内,重庆t之家公寓附近12米",涪陵区,107.579186,29.48996008
南山植物园,106.629167,29.55548684,重庆,251~500,35,1446,"重庆南山植物园内,月季园西南62米",南岸区,106.629167,29.55548684
欢乐海底世界,106.5165848,29.55125814,重庆,251~500,36,1493,"陆海国际中心内,阳光金融中心内0米",渝中区,106.5165848,29.55125814
山城步道,106.5688532,29.55005224,重庆,251~500,37,1522,"山城巷历史文化风貌区内,山城步道附近0米",渝中区,106.5688532,29.55005224
皇冠大扶梯,106.5494943,29.55204169,重庆,251~500,38,1537,"皇冠大厦内,重庆市廖红百货店附近13米",渝中区,106.5494943,29.55204169
金刀峡,106.6181336,30.02259851,重庆,251~500,39,1585,"金刀峡风景区内,狮头峡东北230米",北碚区,106.6181336,30.02259851
鹅岭公园,106.5365163,29.54974487,重庆,251~500,40,1676,"鹅岭正街小区内,鹅岭公园内0米",渝中区,106.5365163,29.54974487
茶山竹海,105.9506124,29.43003289,重庆,251~500,41,1680,茶山竹海附近0米,永川区,105.9506124,29.43003289
罗汉寺,106.5815941,29.5597008,重庆,251~500,42,1710,"解放碑步行街内,罗汉寺内0米",渝中区,106.5815941,29.5597008
四川美术学院(黄桷坪校区),106.5411205,29.48748047,重庆,251~500,43,1839,"四川美术学院(黄桷坪校区)内,鲁迅雕像西南74米",九龙坡区,106.5411205,29.48748047
重庆野生动物世界,105.9091446,29.29136139,重庆,251~500,44,1954,"乐和乐都主题公园度假群内,重庆野生动物世界附近30米",永川区,105.9091446,29.29136139
乌江画廊,108.2135901,29.19112209,重庆,251~500,45,2089,乌江画廊景区附近8米,彭水苗族土家族自治县,108.2135901,29.19112209
张飞庙,108.7054821,30.91042246,重庆,251~500,46,2175,"张飞庙内,旱喷西南59米",云阳县,108.7054821,30.91042246
两江国际影视城（民国街）,106.8231976,29.68504722,重庆,251~500,47,2228,"两江国际影视城内,民国街附近9米",渝北区,106.8231976,29.68504722
重庆WFC会仙楼观景台,106.5776315,29.55896088,重庆,251~500,48,2253,"解放碑步行街内,WFC环球金融购物中心内0米",渝中区,106.5776315,29.55896088
神龙峡风景区,107.0543664,28.99525819,重庆,101~250,49,2512,"神龙峡景区内,懒懒山谷客栈附近16米",南川区,107.0543664,28.99525819
李子坝轻轨站,106.5376599,29.55289228,重庆,101~250,50,2513,"重庆市轨道集团建设大楼内,李子坝(地铁站)附近10米",渝中区,106.5376599,29.55289228
钓鱼城,106.3162442,30.00473805,重庆,101~250,51,2586,"钓鱼城内,古军营遗址附近30米",合川区,106.3162442,30.00473805
阿依河景区,108.120686,29.1508981,重庆,101~250,52,2647,"阿依河旅游景区内,情书文化长廊东南76米",彭水苗族土家族自治县,108.120686,29.1508981
南滨路,106.5464637,29.50852415,重庆,101~250,53,2678,美每家南滨上院西188米,南岸区,106.5464637,29.50852415
涂鸦一条街,106.5429718,29.48688196,重庆,101~250,54,2710,黄桷坪涂鸦艺术街内,九龙坡区,106.5429718,29.48688196
龙鳞石海,106.9135177,28.84716977,重庆,101~250,55,2740,"万盛经济开发区-石林风景名胜区内,重庆梨园民宿西107米",綦江区,106.9135177,28.84716977
白鹤梁水下博物馆,107.3924157,29.71217275,重庆,101~250,56,2786,"白鹤梁水下博物馆内,白鹤梁东53米",涪陵区,107.3924157,29.71217275
长寿古镇,107.0663031,29.85765457,重庆,101~250,57,2787,"长寿菩提古镇文化旅游区内,彭祖桥东北84米",长寿区,107.0663031,29.85765457
汉海海洋公园,106.5440482,29.39344507,重庆,101~250,58,2934,"重庆汉海海洋公园内,海洋公园-雨林馆附近48米",巴南区,106.5440482,29.39344507
石宝寨,108.1915891,30.42016187,重庆,101~250,59,2935,"石宝寨内,十二生肖雕塑东51米",忠县,108.1915891,30.42016187
长寿湖,107.2413802,29.91373907,重庆,101~250,60,2951,长涛湖风景区鹊桥附近41米,长寿区,107.2413802,29.91373907
铜梁奇彩梦园,106.046026,29.79474887,重庆,101~250,61,2964,"奇彩梦园内,奇彩花海北60米",铜梁区,106.046026,29.79474887
碧津公园,106.629829,29.71363737,重庆,101~250,62,2965,"碧津公园内,景观叠水东111米",渝北区,106.629829,29.71363737
瞿塘峡,109.5786557,31.04113292,重庆,101~250,63,3065,"重庆奉节白帝城・瞿塘峡景区内,忠义渡口东南130米",奉节县,109.5786557,31.04113292
北山石刻,105.7104071,29.71224906,重庆,101~250,64,3066,"北山石刻景区内,北山摩岩造像西北131米",大足区,105.7104071,29.71224906
天福官驿,107.7978198,29.43428044,重庆,101~250,65,3077,"天生三桥内,天福官驿附近0米",武隆区,107.7978198,29.43428044
三峡广场,106.4597538,29.55783347,重庆,101~250,66,3182,华夏银座附近32米,沙坪坝区,106.4597538,29.55783347
花卉园,106.5143807,29.58149879,重庆,101~250,67,3183,"重庆市花卉园内,中国水电六局重庆轨道交通4号线西延伸段土建3标项目经理部西83米",渝北区,106.5143807,29.58149879
万灵古镇,105.648212,29.48971535,重庆,101~250,68,3212,"万灵古镇内,万灵影视拍摄基地一期附近24米",荣昌区,105.648212,29.48971535
龙水湖旅游度假区,105.8091089,29.54326839,重庆,101~250,69,3321,"龙水湖旅游度假区内,重庆龙水湖青年旅社西北254米",大足区,105.8091089,29.54326839
山城夜景,106.4348964,29.58457078,重庆,101~250,70,3394,"歌乐山烈士陵园内,渣滓洞内0米",沙坪坝区,106.4348964,29.58457078
重庆科技馆,106.5779759,29.57221606,重庆,101~250,71,3413,重庆科技馆内,江北区,106.5779759,29.57221606
缙云山,106.3817774,29.83380715,重庆,101~250,72,3434,"缙云山内,观霞山庄西北522米",北碚区,106.3817774,29.83380715
重庆大学,106.4685353,29.5652049,重庆,101~250,73,3539,"重庆大学-A区内,计划财务处西南55米",沙坪坝区,106.4685353,29.5652049
歌乐山国家森林公园,106.4273793,29.5686316,重庆,101~250,74,3558,"歌乐山森林公园内,同心岛附近31米",沙坪坝区,106.4273793,29.5686316
重庆国泰艺术中心,106.5771239,29.5600263,重庆,101~250,75,3595,"解放碑步行街内,重庆国泰艺术中心内0米",渝中区,106.5771239,29.5600263
安居古城,106.0289341,29.98836858,重庆,101~250,76,3613,"安居古城景区内,毛主席像章展览馆附近50米",铜梁区,106.0289341,29.98836858
巫峡,110.1184003,31.03211711,重庆,101~250,77,3632,巫峡附近0米,巫山县,110.1184003,31.03211711
小南海,108.741611,29.64385665,重庆,101~250,78,3711,"小南海国家地质公园内,土家十三寨(小南海)景区东南254米",黔江区,108.741611,29.64385665
南山风景区,106.6222176,29.5560434,重庆,101~250,79,3798,"重庆大金鹰内,南山风景区附近2米",南岸区,106.6222176,29.5560434
宝顶山景区,105.7948013,29.74877519,重庆,101~250,80,3848,"大足石刻宝顶山景区内,文殊菩萨东137米",大足区,105.7948013,29.74877519
二厂文创公园,106.5400429,29.55140641,重庆,101~250,81,3849,"二厂文创公园内,鹅岭二厂附近17米",渝中区,106.5400429,29.55140641
佛影峡漂流,106.7022371,29.2433216,重庆,101~250,82,3952,"佛影峡生态旅游区内,佛影峡漂流景区内0米",巴南区,106.7022371,29.2433216
歌乐山烈士陵园,106.4411707,29.571595,重庆,101~250,83,3953,"歌乐山烈士陵园内,'一一二七'盟员烈士纪念碑东65米",沙坪坝区,106.4411707,29.571595
巴国城,106.4732966,29.50173822,重庆,101~250,84,3979,"巴国城内,喜唐云帆楼内0米",九龙坡区,106.4732966,29.50173822
宝贝梦想城,106.5244318,29.55742321,重庆,101~250,85,3980,"金源时代购物中心内,精益眼镜附近43米",江北区,106.5244318,29.55742321
千厮门大桥,106.5795877,29.56373975,重庆,101~250,86,4053,时光秘境北142米,渝中区,106.5795877,29.56373975
十八梯,106.5723078,29.55055055,重庆,101~250,87,4139,"重庆十八梯内,B5栋附近21米",渝中区,106.5723078,29.55055055
潼南大佛寺,105.8098347,30.1865837,重庆,101~250,88,4376,潼南大佛寺景区西南156米,潼南区,105.8098347,30.1865837
华岩寺,106.44625,29.49256634,重庆,101~250,89,4482,"华岩旅游风景区内,华岩寺附近0米",九龙坡区,106.44625,29.49256634
重庆杜莎夫人蜡像馆,106.5862736,29.5783223,重庆,101~250,90,4504,"长嘉汇购物公园内,中国工商银行附近45米",南岸区,106.5862736,29.5783223
汉丰湖,108.465866,31.17860365,重庆,101~250,91,4568,汉丰湖国家水利风景区附近0米,开州区,108.465866,31.17860365
嘉陵江,106.5413131,29.56254722,重庆,101~250,92,4777,重庆牛角沱滨水公园西北264米,渝中区,106.5413131,29.56254722
钟家院,106.4519029,29.57937588,重庆,101~250,93,4908,"磁器口古镇内,钟家院附近7米",沙坪坝区,106.4519029,29.57937588
神女峰,110.016086,31.03278956,重庆,101~250,94,4909,板栗树槽东南63米,巫山县,110.016086,31.03278956
南坪步行街,106.5636587,29.52429462,重庆,101~250,95,4910,万达国际附近2米,南岸区,106.5636587,29.52429462
西南大学,106.4208221,29.81933154,重庆,101~250,96,4944,"西南大学内,光大礼堂西130米",北碚区,106.4208221,29.81933154
816工程景区,107.5110813,29.5541513,重庆,101~250,97,4945,"816工程内,7号主导洞西北72米",涪陵区,107.5110813,29.5541513
枇杷山公园,106.5577553,29.55431148,重庆,101~250,98,4982,"重庆枇杷山公园内,重庆市枇杷山公园管理处北168米",渝中区,106.5577553,29.55431148
重庆千野草场景区,108.2163004,30.2603743,重庆,101~250,99,4983,石柱千野草场生态旅游风景区-观光车候车处东北86米,石柱土家族自治县,108.2163004,30.2603743
朝天门大桥,106.5717917,29.58490099,重庆,101~250,100,5018,紫御江山紫峰北270米,江北区,106.5717917,29.58490099
重庆鳄鱼养殖中心,106.592804,29.64480065,重庆,51~100,101,5068,"重庆鳄鱼中心内,西部热带动物园内0米",渝北区,106.592804,29.64480065
照母山森林公园,106.5088042,29.6265652,重庆,51~100,102,5069,"照母山森林公园内,石牛坡西61米",渝北区,106.5088042,29.6265652
长嘉汇弹子石老街,106.5870387,29.57890912,重庆,51~100,103,5111,"弹子石老街内,青云桥附近12米",南岸区,106.5870387,29.57890912
红岩革命纪念馆,106.4990695,29.55394795,重庆,51~100,104,5157,"重庆红岩革命纪念馆内,重庆红岩革命历史博物馆附近33米",渝中区,106.4990695,29.55394795
大木林下花园,107.6684667,29.62518146,重庆,51~100,105,5193,"大木花谷内,大木林下花园内0米",涪陵区,107.6684667,29.62518146
宝轮寺,106.4523944,29.58224653,重庆,51~100,106,5194,"磁器口古镇内,宝轮寺附近3米",沙坪坝区,106.4523944,29.58224653
中山四路,106.5502558,29.56499486,重庆,51~100,107,5195,周公馆附近47米,渝中区,106.5502558,29.56499486
重庆国际会议展览中心,106.5615778,29.53359095,重庆,51~100,108,5196,"国汇中心内,重庆城投国际会议展览中心内0米",南岸区,106.5615778,29.53359095
老君洞,106.6024556,29.54166923,重庆,51~100,109,5232,"老君洞内,南天门东南125米",南岸区,106.6024556,29.54166923
龙兴古镇,106.7934208,29.70078923,重庆,51~100,110,5233,"龙兴古镇内,龙藏宫附近48米",渝北区,106.7934208,29.70078923
朝天门码头,106.5892497,29.56330553,重庆,51~100,111,5276,总统七号游轮附近17米,渝中区,106.5892497,29.56330553
天坑寨子景区,107.8242753,29.44916113,重庆,51~100,112,5313,"天坑寨子景区内,重庆武隆・天坑寨子・阿巴措营地附近24米",武隆区,107.8242753,29.44916113
梵高星空艺术馆,106.5789861,29.55753162,重庆,51~100,113,5392,"解放碑步行街内,大都会东方广场内0米",渝中区,106.5789861,29.55753162
鸿恩寺森林公园,106.5074222,29.57007538,重庆,51~100,114,5432,"鸿恩寺森林公园内,鸿影湖东南109米",江北区,106.5074222,29.57007538
三峡梯城,108.6990964,30.93639856,重庆,51~100,115,5433,"三峡梯城内,凭栏望台西北97米",云阳县,108.6990964,30.93639856
宋庆龄旧居,106.548804,29.55413203,重庆,51~100,116,5482,重庆宋庆龄旧居陈列馆内,渝中区,106.548804,29.55413203
涞滩古镇,106.4943611,30.17407436,重庆,51~100,117,5521,"涞滩古镇内,居士楼南63米",合川区,106.4943611,30.17407436
山王坪喀斯特国家生态公园,107.3376622,29.11431125,重庆,51~100,118,5522,山王坪喀斯特国家生态公园附近0米,南川区,107.3376622,29.11431125
芙蓉江,107.9075094,29.22590021,重庆,51~100,119,5628,"重庆武隆芙蓉洞内,祥瑞迎宾附近39米",武隆区,107.9075094,29.22590021
中山古镇,106.327464,28.83892703,重庆,51~100,120,5733,"中山古镇内,中国邮政储蓄银行西南89米",江津区,106.327464,28.83892703
大木花谷,107.6734353,29.62421873,重庆,51~100,121,5838,"大木花谷内,迎新安置房东117米",涪陵区,107.6734353,29.62421873
潼南崇龛油菜花,105.6160484,30.14746262,重庆,51~100,122,5898,"陈抟故里崇龛花海景区-停车场内,潼南油菜花景区附近0米",潼南区,105.6160484,30.14746262
下浩老街,106.5959623,29.55768851,重庆,51~100,123,6011,重庆市文物保护志愿者服务总队北60米,南岸区,106.5959623,29.55768851
蚩尤九黎城,108.1282202,29.31634354,重庆,51~100,124,6138,"蚩尤九黎城内,九黎宫西南121米",彭水苗族土家族自治县,108.1282202,29.31634354
江北嘴中央商务区中央公园,106.5751854,29.57243446,重庆,51~100,125,6397,"江北嘴中央商务区-中央公园内,中央公园西79米",江北区,106.5751854,29.57243446
天主教若瑟堂,106.5697412,29.55774912,重庆,51~100,126,6398,"解放碑步行街内,天主教若瑟堂内0米",渝中区,106.5697412,29.55774912
太白岩公园,108.3732932,30.80697993,重庆,51~100,127,6557,太白岩公园附近6米,万州区,108.3732932,30.80697993
仙女山镇,107.7609593,29.41811973,重庆,51~100,128,6558,仙女山镇政府西58米,武隆区,107.7609593,29.41811973
凯旋路电梯,106.5766851,29.55216333,重庆,51~100,129,6687,大元广场附近41米,渝中区,106.5766851,29.55216333
濯水古镇,108.773758,29.30015411,重庆,51~100,130,6750,"濯水景区内,濯水古镇内0米",黔江区,108.773758,29.30015411
红岩魂广场,106.4444788,29.571964,重庆,51~100,131,6841,"歌乐山烈士陵园内,重庆歌乐山革命纪念馆东248米",沙坪坝区,106.4444788,29.571964
昌州古城,105.7452191,29.69167292,重庆,51~100,132,6842,"昌州古城内,棠都大酒店海棠里附近47米",大足区,105.7452191,29.69167292
菜园坝长江大桥,106.5512606,29.54335124,重庆,51~100,133,6843,新重庆小商品菜园坝批发中心南588米,渝中区,106.5512606,29.54335124
黄水国家森林公园,108.3951263,30.2356428,重庆,51~100,134,6925,"毕兹卡绿宫内,黄水国家森林公园附近0米",石柱土家族自治县,108.3951263,30.2356428
五洲园,106.7414257,29.193657,重庆,51~100,135,6994,"五洲园内,丹霞峰西北73米",巴南区,106.7414257,29.193657
洪安古镇,109.2728847,28.49950408,重庆,51~100,136,6995,"重庆秀山洪安边城景区内,洪安古镇内0米",秀山土家族苗族自治县,109.2728847,28.49950408
东水门,106.587804,29.55902368,重庆,51~100,137,7083,东水门及古城墙附近1米,渝中区,106.587804,29.55902368
巫溪灵巫洞,109.5966615,31.48302883,重庆,51~100,138,7172,"巫溪灵巫洞内,二宝山南733米",巫溪县,109.5966615,31.48302883
古剑山风景区,106.6072563,28.95668117,重庆,51~100,139,7173,"綦江古剑山风景区内,成远森林度假酒店西383米",綦江区,106.6072563,28.95668117
南滨公园,106.583566,29.54378106,重庆,51~100,140,7259,"南滨公园内,南滨路景区西南338米",南岸区,106.583566,29.54378106
巴渝民俗文化村,106.6282074,29.71231247,重庆,51~100,141,7353,民俗文化村附近25米,渝北区,106.6282074,29.71231247
重庆图书馆,106.4548236,29.53239321,重庆,51~100,142,7443,"重庆图书馆内,穿越时空重庆漫画展附近49米",沙坪坝区,106.4548236,29.53239321
红池坝国家森林公园,109.0835277,31.54326619,重庆,51~100,143,7444,"红池坝风景区内,流星花谷西北532米",巫溪县,109.0835277,31.54326619
重庆长江大桥,106.5632507,29.54486556,重庆,51~100,144,7445,珊瑚坝东南313米,渝中区,106.5632507,29.54486556
照母山植物园,106.5095168,29.6278024,重庆,51~100,145,7446,"照母山森林公园内,翠玉坪西南72米",渝北区,106.5095168,29.6278024
桂园,106.547041,29.5628936,重庆,51~100,146,7565,桂园内,渝中区,106.547041,29.5628936
金佛山北坡景区,107.1889828,29.04084858,重庆,51~100,147,7566,金佛山国家重点风景名胜区-商品店北86米,南川区,107.1889828,29.04084858
通远门城墙遗址公园,106.5673299,29.55544605,重庆,51~100,148,7567,重庆古城墙-通远门段城门及城墙内,渝中区,106.5673299,29.55544605
李子坝公园,106.5350168,29.55196575,重庆,51~100,149,7653,"李子坝抗战遗址公园内,根固公馆附近7米",渝中区,106.5350168,29.55196575
菩提山,107.0531114,29.86704605,重庆,51~100,150,7654,"长寿菩提山文化旅游景区内,望寿楼西北158米",长寿区,107.0531114,29.86704605
武陵山国家森林公园,107.5935094,29.53841112,重庆,51~100,151,7655,"武陵山国家森林公园内,百年夫妻树西南405米",涪陵区,107.5935094,29.53841112
铁山坪森林公园,106.6835694,29.60655847,重庆,51~100,152,7747,"铁山坪森林公园内,重庆市儿童爱心庄园西132米",江北区,106.6835694,29.60655847
佛图关公园,106.5277191,29.54798737,重庆,51~100,153,7748,"佛图关公园内,杨公烈士铜像西235米",渝中区,106.5277191,29.54798737
重庆自然博物馆（新馆）,106.4076981,29.81885285,重庆,51~100,154,7749,"重庆自然博物馆内,自然博物馆站西南277米",北碚区,106.4076981,29.81885285
万州西游洞,108.4241355,30.60625066,重庆,51~100,155,7750,鹅沟东南126米,万州区,108.4241355,30.60625066
周公馆,106.5505236,29.56528775,重庆,51~100,156,7845,"巴渝文化会馆内,周公馆内0米",渝中区,106.5505236,29.56528775
重庆白象街,106.5793349,29.55145587,重庆,51~100,157,7846,"白象街传统风貌区内,融创白象街东北167米",渝中区,106.5793349,29.55145587
北泉风景区,106.4154544,29.85845261,重庆,51~100,158,7847,"北温泉公园内,缙云山北温泉旅游度假区北133米",北碚区,106.4154544,29.85845261
万盛石林,106.9195781,28.84361747,重庆,51~100,159,7925,万盛石林景区东北564米,綦江区,106.9195781,28.84361747
大风堡景区,108.3824216,30.18960126,重庆,51~100,160,7926,"大风堡景区内,观景台东北100米",石柱土家族自治县,108.3824216,30.18960126
平顶山文化公园,106.4744224,29.54719266,重庆,51~100,161,8003,"平顶山文化公园内,平顶山足球乐园西北99米",沙坪坝区,106.4744224,29.54719266
圣灯山森林公园,106.6838793,29.21502798,重庆,51~100,162,8110,"圣灯山原始森林公园内,拈花微笑铜像附近48米",巴南区,106.6838793,29.21502798
西南政法大学,106.5963998,29.66637621,重庆,51~100,163,8111,"西南政法大学(渝北校区)内,西南政法大学医院南58米",渝北区,106.5963998,29.66637621
四川外国语大学,106.436497,29.57022574,重庆,51~100,164,8112,"歌乐山烈士陵园内,四川外国语大学内0米",沙坪坝区,106.436497,29.57022574
地心探险极地,106.9090215,29.75897172,重庆,51~100,165,8216,"地心探险极地内,生基坪西南450米",渝北区,106.9090215,29.75897172
嘉陵江小三峡,106.4183896,29.85426834,重庆,51~100,166,8323,嘉陵江小三峡风光带附近1米,北碚区,106.4183896,29.85426834
摩围山景区,107.9804495,29.18248203,重庆,51~100,167,8324,"摩围山风景区内,停车场附近34米",彭水苗族土家族自治县,107.9804495,29.18248203
南天湖景区,107.8231417,29.57364263,重庆,51~100,168,8325,"南天湖景区内,喊泉附近31米",丰都县,107.8231417,29.57364263
偏岩古镇,106.6556391,30.00190771,重庆,51~100,169,8326,"偏岩古镇内,金湖宾馆附近39米",北碚区,106.6556391,30.00190771
新华日报营业部旧址,106.5707805,29.55776749,重庆,51~100,170,8327,"解放碑步行街内,新华日报营业部旧址内0米",渝中区,106.5707805,29.55776749
重庆工商大学,106.579022,29.50341832,重庆,51~100,171,8328,"重庆工商大学(南岸校区)内,南苑超市西152米",南岸区,106.579022,29.50341832
