景点名称,景点经度,景点纬度,景点城市,点评数量,点评数量排名_当前城市,点评数量排名_全国,places,position,wgs_longitude,wgs_latitude
红池坝高山草场,109.0157698,31.66922643,重庆,11~50,172,8453,红池坝高山草场附近1米,巫溪县,109.0157698,31.66922643
神女溪,109.900002,31.12000187,重庆,11~50,173,8454,神女溪附近0米,巫山县,109.900002,31.12000187
丰盛古镇,106.9351556,29.52761823,重庆,11~50,174,8455,"丰盛古镇内,青远楼公园东北109米",巴南区,106.9351556,29.52761823
北碚公园,106.4431642,29.82791173,重庆,11~50,175,8675,"北碚公园内,竹园附近13米",北碚区,106.4431642,29.82791173
双桂堂,107.7061324,30.60540857,重庆,11~50,176,8809,"双桂堂内,禅堂南77米",梁平区,107.7061324,30.60540857
垫江牡丹樱花世界,107.3936368,30.41004533,重庆,11~50,177,8810,"垫江牡丹樱花世界内,紫金潭东104米",垫江县,107.3936368,30.41004533
秀湖公园,106.21497,29.58265636,重庆,11~50,178,8811,"秀湖公园内,时光故事影视主题小镇北78米",璧山区,106.21497,29.58265636
永川卫星湖,105.8873988,29.24979282,重庆,11~50,179,8812,卫星湖风情小镇南95米,永川区,105.8873988,29.24979282
重庆市城市规划展览馆,106.5886547,29.5754002,重庆,11~50,180,8813,重庆市规划展览馆内,南岸区,106.5886547,29.5754002
龙门浩老街,106.5945117,29.55589238,重庆,11~50,181,8939,"龙门浩老街内,美国大使馆临时办公楼旧址附近10米",南岸区,106.5945117,29.55589238
棠城公园,105.931932,29.35728051,重庆,11~50,182,8940,"棠城公园内,天一阁附近27米",永川区,105.931932,29.35728051
重庆师范大学,106.4565972,29.55781622,重庆,11~50,183,8941,"重庆师范大学(沙坪坝校区)内,重庆师范大学继续教育学院附近10米",沙坪坝区,106.4565972,29.55781622
慈云寺,106.5944444,29.5659777,重庆,11~50,184,9076,"慈云寺内,故宫文物南迁纪念馆西北54米",南岸区,106.5944444,29.5659777
重庆当代美术馆,106.5414638,29.48705969,重庆,11~50,185,9077,"四川美术学院(黄桷坪校区)内,四川美术学院黄桷坪校区-商业美术系西南93米",九龙坡区,106.5414638,29.48705969
垫江牡丹生态旅游区,107.2906891,30.26510474,重庆,11~50,186,9078,垫江牡丹生态旅游区附近8米,垫江县,107.2906891,30.26510474
宁厂古镇,109.6151442,31.46182276,重庆,11~50,187,9206,盐泉社区退役军人服务站西北155米,巫溪县,109.6151442,31.46182276
聂荣臻元帅陈列馆,106.2606784,29.27519294,重庆,11~50,188,9207,"聂荣臻元帅陈列馆内,聂荣臻元帅铜像附近45米",江津区,106.2606784,29.27519294
龙美术馆,106.574282,29.56905011,重庆,11~50,189,9208,"重庆国华金融中心内,重庆国华天平大厦附近24米",江北区,106.574282,29.56905011
花样龙水湖,105.8008617,29.52184504,重庆,11~50,190,9361,湖滨公园西57米,大足区,105.8008617,29.52184504
双江古镇,105.7494443,30.21496173,重庆,11~50,191,9362,"双江古镇内,杨公同志旧居内0米",潼南区,105.7494443,30.21496173
珊瑚公园,106.5527199,29.55035044,重庆,11~50,192,9363,华福超市南58米,渝中区,106.5527199,29.55035044
云阳长江大桥,108.7166561,30.91667021,重庆,11~50,193,9506,"云阳滨江公园内,水上花园东北67米",云阳县,108.7166561,30.91667021
西沱古镇,108.2201397,30.40655965,重庆,11~50,194,9507,西沱古镇西南100米,石柱土家族自治县,108.2201397,30.40655965
濯水景区蒲花暗河,108.7437736,29.30480634,重庆,11~50,195,9508,蒲花暗河西南210米,黔江区,108.7437736,29.30480634
东溪古镇,106.6670514,28.75920908,重庆,11~50,196,9659,"东溪古镇内,东溪医院东南244米",綦江区,106.6670514,28.75920908
古佛山,105.5186104,29.27324529,重庆,11~50,197,9660,古佛山9D玻璃索桥西北248米,荣昌区,105.5186104,29.27324529
重庆理工大学,106.5121454,29.51308965,重庆,11~50,198,9828,"保利时代广场内,奥蓝超市附近29米",九龙坡区,106.5121454,29.51308965
石马山公园,107.799972,30.66218251,重庆,11~50,199,9829,石马山公园东223米,梁平区,107.799972,30.66218251
大韩民国临时政府旧址陈列馆,106.5694652,29.55581271,重庆,11~50,200,9830,"解放碑步行街内,大韩民国临时政府旧址陈列馆内0米",渝中区,106.5694652,29.55581271
红岩魂陈列馆,106.4423528,29.57222289,重庆,11~50,201,9831,"歌乐山烈士陵园内,重庆歌乐山革命纪念馆附近9米",沙坪坝区,106.4423528,29.57222289
聚森茂特色创意产业街,106.4518723,29.58073395,重庆,11~50,202,9832,"磁器口古镇内,瓷器口古镇民俗馆附近40米",沙坪坝区,106.4518723,29.58073395
法国水师兵营旧址,106.5845462,29.5794502,重庆,11~50,203,9833,"同盟国驻渝外交机构旧址群-法国水师兵营旧址内,SND(超凡百货店)附近22米",南岸区,106.5845462,29.5794502
戴笠公馆旧址,106.5492463,29.56486149,重庆,11~50,204,10009,"巴渝文化会馆内,85号创意公馆内0米",渝中区,106.5492463,29.56486149
重庆医科大学,106.5091434,29.53560176,重庆,11~50,205,10010,康德27度生活空间西102米,渝中区,106.5091434,29.53560176
重庆八中,106.465768,29.55403466,重庆,11~50,206,10194,"重庆八中(沙坪坝站东路)内,王俊凯身边附近29米",沙坪坝区,106.465768,29.55403466
白沙古镇,106.1249529,29.06161275,重庆,11~50,207,10195,"老重庆影视拍摄基地内,白沙古镇西南62米",江津区,106.1249529,29.06161275
丰都九重天连天栈道,107.8119544,29.78618165,重庆,11~50,208,10196,"九重天景区内,天空之镜附近38米",丰都县,107.8119544,29.78618165
凤凰花海,106.352565,29.71407801,重庆,11~50,209,10382,凤凰花海附近21米,沙坪坝区,106.352565,29.71407801
松溉古镇,105.89374,29.05625036,重庆,11~50,210,10383,永川区松溉镇博爱卫生院西北84米,永川区,105.89374,29.05625036
忠县白公祠,108.021544,30.28425584,重庆,11~50,211,10780,"白公祠内,关帝庙附近46米",忠县,108.021544,30.28425584
杨家坪步行街,106.5191503,29.50986954,重庆,11~50,212,10781,星河港都西57米,九龙坡区,106.5191503,29.50986954
万州慈云寺,108.3751148,30.80168347,重庆,11~50,213,11184,慈云寺内,万州区,108.3751148,30.80168347
百里竹海景区-观音洞,107.567276,30.68519655,重庆,11~50,214,11185,"重庆市梁平区百里竹海景区-观音洞内,重庆市梁平区百里竹海景区南59米",梁平区,107.567276,30.68519655
巴蔓子墓,106.5691109,29.55659252,重庆,11~50,215,11186,"解放碑步行街内,渝海大厦内0米",渝中区,106.5691109,29.55659252
星光大道,106.5087014,29.60091519,重庆,11~50,216,11187,星光大厦东南185米,渝北区,106.5087014,29.60091519
观音塘湿地公园,106.224604,29.55426384,重庆,11~50,217,11188,"观音塘湿地公园内,观景码头东南59米",璧山区,106.224604,29.55426384
瞰胜楼观夜景,106.538298,29.55012139,重庆,11~50,218,11399,"鹅岭正街小区内,鹅岭公园内0米",渝中区,106.538298,29.55012139
重庆抗战遗址博物馆,106.6176013,29.56666804,重庆,11~50,219,11400,"重庆抗战遗址博物馆内,黄山抗战旧址群-云岫楼附近10米",南岸区,106.6176013,29.56666804
重庆熙街,106.3013739,29.60132988,重庆,11~50,220,11401,"大学城熙街-二期内,重庆熙街附近26米",沙坪坝区,106.3013739,29.60132988
泰昌古镇,109.8201903,31.25386983,重庆,11~50,221,11402,大昌镇附近0米,巫山县,109.8201903,31.25386983
黄桷古道,106.5969193,29.54090837,重庆,11~50,222,11606,黄葛古道附近0米,南岸区,106.5969193,29.54090837
铜梁博物馆,106.05484,29.83636153,重庆,11~50,223,11607,"铜梁博物馆内,玉琪茶庄附近33米",铜梁区,106.05484,29.83636153
北碚恐龙遗址,106.4251326,29.84314771,重庆,11~50,224,11608,"北泉风景区内,望江楼别墅南72米",北碚区,106.4251326,29.84314771
渝北商业步行街,106.5967856,29.66950967,重庆,11~50,225,11609,"学府佳园内,不晚花艺附近11米",渝北区,106.5967856,29.66950967
青龙桥,107.8012797,29.43386398,重庆,11~50,226,11857,"天生三桥内,青龙桥附近1米",武隆区,107.8012797,29.43386398
美心红酒小镇,107.185811,29.66268535,重庆,11~50,227,11858,"美心红酒小镇内,蔺市客运站内0米",涪陵区,107.185811,29.66268535
十字金街,106.5765478,29.55748354,重庆,11~50,228,11859,"解放碑步行街内,重庆时代广场西南94米",渝中区,106.5765478,29.55748354
东水门大桥,106.5911399,29.55771354,重庆,11~50,229,11860,湖广会馆东482米,南岸区,106.5911399,29.55771354
朝华文化公园,107.7273658,29.8656871,重庆,11~50,230,11861,"朝华文化公园内,丰都县规划局西南75米",丰都县,107.7273658,29.8656871
壹华里夜景公园,106.5927198,29.50875459,重庆,11~50,231,12084,"壹华里夜景公园内,山涧叠院民宿附近41米",南岸区,106.5927198,29.50875459
滑石古寨景区,107.7243168,30.58889252,重庆,11~50,232,12085,"重庆市梁平区滑石古寨内,梁平区滑石古寨景区-三寨门西377米",梁平区,107.7243168,30.58889252
刘伯承故居,108.4258724,31.07518205,重庆,11~50,233,12086,刘伯承故居内,开州区,108.4258724,31.07518205
能仁寺,106.5770165,29.55555941,重庆,11~50,234,12350,"解放碑步行街内,解放碑商业大厦内0米",渝中区,106.5770165,29.55555941
巴南文化电影公园,106.5507611,29.43951156,重庆,11~50,235,12351,工商干校西南67米,巴南区,106.5507611,29.43951156
红岩村,106.4982894,29.55157003,重庆,11~50,236,12352,重庆红岩革命历史博物馆南286米,渝中区,106.4982894,29.55157003
中国民主党派历史陈列馆,106.5459847,29.56100375,重庆,11~50,237,12353,"中国民主党派历史陈列馆内,中国民主同盟成立纪念碑附近22米",渝中区,106.5459847,29.56100375
天鹅湖风景区,109.4614353,31.05279609,重庆,11~50,238,12604,"天鹅湖风景区内,天湖雅郡东北251米",奉节县,109.4614353,31.05279609
天成巷百业工坊老街,106.5785003,29.56229958,重庆,11~50,239,12605,"重庆洪崖洞内,洪崖滴翠东北52米",渝中区,106.5785003,29.56229958
邱少云纪念馆,106.0511554,29.84773355,重庆,11~50,240,12606,"邱少云纪念馆内,邱少云烈士纪念碑内0米",铜梁区,106.0511554,29.84773355
巴岳山,106.0559497,29.77496586,重庆,11~50,241,12890,铜龙应急救援大队东北242米,铜梁区,106.0559497,29.77496586
华夏牡丹园,107.2504547,30.24244064,重庆,11~50,242,13216,华夏牡丹园附近1米,垫江县,107.2504547,30.24244064
金佛山世界昆虫博物园,107.1264858,29.04856315,重庆,11~50,243,13217,世界昆虫博物园附近11米,南川区,107.1264858,29.04856315
綦江农民版画院,106.6434643,29.04746101,重庆,11~50,244,13564,"版画广场内,綦江农民版画院内0米",綦江区,106.6434643,29.04746101
重庆历史名人馆,106.5875998,29.56667451,重庆,11~50,245,13565,"重庆朝天门广场内,重庆规划展览馆来福士体验中心附近32米",渝中区,106.5875998,29.56667451
塘河古镇,106.0508398,28.95668983,重庆,11~50,246,13566,"塘河古镇内,塘河镇附近6米",江津区,106.0508398,28.95668983
缙云山生态旅游观光索道,106.3981498,29.8367872,重庆,11~50,247,13567,"缙云山内,太虚大师之塔东190米",北碚区,106.3981498,29.8367872
天井峡地缝,109.4573008,30.68541163,重庆,11~50,248,13921,"天坑地缝国家重点风景名胜区内,天井峡地缝内0米",奉节县,109.4573008,30.68541163
重庆万达金街,106.5698999,29.52425333,重庆,11~50,249,13922,重庆富力艾美酒店西52米,南岸区,106.5698999,29.52425333
南山石刻,105.7205786,29.68346989,重庆,11~50,250,13923,三清古洞内,大足区,105.7205786,29.68346989
圣寿寺,105.798089,29.752073,重庆,11~50,251,14276,"大足石刻宝顶山景区内,天王殿(圣寿寺)附近21米",大足区,105.798089,29.752073
黄山蒋介石官邸,106.6176963,29.56667623,重庆,11~50,252,14277,"重庆抗战遗址博物馆内,黄山抗战旧址群-云岫楼附近0米",南岸区,106.6176963,29.56667623
重庆交通大学,106.5713722,29.49020355,重庆,11~50,253,14278,"重庆交通大学内,隧道轨道与地下工程研究所东南66米",南岸区,106.5713722,29.49020355
雨台山风景区,107.4502766,29.7183103,重庆,11~50,254,14279,大垭口南88米,涪陵区,107.4502766,29.7183103
神龟峡,108.6628522,29.10484336,重庆,11~50,255,14686,阿蓬江生态景区西61米,黔江区,108.6628522,29.10484336
电视塔公园,106.2248152,29.58509352,重庆,11~50,256,14687,"璧山区电视塔公园内,枫林唱晚南55米",璧山区,106.2248152,29.58509352
探索舱・云端乐园,106.5875852,29.5658161,重庆,11~50,257,14688,"重庆来福士内,来福士探索舱观景台附近0米",渝中区,106.5875852,29.5658161
南温泉公园,106.5782791,29.42242988,重庆,11~50,258,14689,"南温泉旅游风景区内,重庆南温泉丽筠酒店北155米",巴南区,106.5782791,29.42242988
望乡台瀑布,106.4298369,28.61263755,重庆,11~50,259,15129,四面山大瀑布附近45米,江津区,106.4298369,28.61263755
姜家溶洞风景区,106.8052096,29.33644317,重庆,11~50,260,15130,姜家溶洞风景区附近0米,巴南区,106.8052096,29.33644317
阿蓬江,108.6633775,29.10469183,重庆,11~50,261,15131,阿蓬江生态景区附近0米,黔江区,108.6633775,29.10469183
跳伞塔,106.5474842,29.55338385,重庆,11~50,262,15132,"重庆市体育竞赛中心内,重庆市大田湾全民健身中心内0米",渝中区,106.5474842,29.55338385
恺之峰旅游区,107.2858715,30.26311077,重庆,11~50,263,15133,"恺之峰旅游区内,牡丹村退役军人服务站东南72米",垫江县,107.2858715,30.26311077
潼南杨公旧居,105.7491984,30.2153276,重庆,11~50,264,15134,"双江古镇内,杨公同志旧居内0米",潼南区,105.7491984,30.2153276
海石公园,106.41157,29.69461333,重庆,11~50,265,15135,"海石公园内,结心门北494米",沙坪坝区,106.41157,29.69461333
重庆文峰塔,106.5987786,29.53286534,重庆,11~50,266,15136,文峰塔附近1米,南岸区,106.5987786,29.53286534
重庆市北碚区嘉陵风情步行街,106.4023891,29.80139021,重庆,11~50,267,15137,"嘉陵风情步行街内,雄风新天地东153米",北碚区,106.4023891,29.80139021
重庆天地,106.5093469,29.55302596,重庆,11~50,268,15596,"重庆天地内,2栋附近1米",渝中区,106.5093469,29.55302596
印盒李花生态旅游区,106.8304602,29.90462689,重庆,11~50,269,15597,"渝北印盒李花生态旅游区内,玉皇观附近29米",渝北区,106.8304602,29.90462689
（重庆黄水旅游度假区）毕兹卡绿宫,108.3909595,30.23798994,重庆,11~50,270,15598,"毕兹卡绿宫内,绿宫度假酒店东北345米",石柱土家族自治县,108.3909595,30.23798994
中国黔江城市大峡谷,108.8159705,29.50656661,重庆,11~50,271,15599,"中国黔江城市大峡谷内,峡谷公园北64米",黔江区,108.8159705,29.50656661
龙山风情街,106.5025847,29.58821475,重庆,11~50,272,16050,大龙山公园东北263米,渝北区,106.5025847,29.58821475
重庆市沙坪坝区教师进修学院,106.4694039,29.55824591,重庆,11~50,273,16051,重庆市沙坪坝区教师进修学院内,沙坪坝区,106.4694039,29.55824591
涂山寺,106.6083219,29.55003342,重庆,11~50,274,16052,"涂山寺内,观音殿附近46米",南岸区,106.6083219,29.55003342
重庆长江索道南站,106.5940739,29.55250202,重庆,11~50,275,16552,重庆长江索道南站附近14米,南岸区,106.5940739,29.55250202
黄桷坪,106.5424135,29.48969188,重庆,11~50,276,16553,黄桷坪涂鸦艺术街西北78米,九龙坡区,106.5424135,29.48969188
茂云山国家森林公园,108.183484,29.23942134,重庆,11~50,277,17043,国家电网充电站东北985米,彭水苗族土家族自治县,108.183484,29.23942134
武陵仙山,108.618544,29.54334465,重庆,11~50,278,17044,"黔江国家森林公园内,武陵仙山附近0米",黔江区,108.618544,29.54334465
神鹰天坑,107.8048115,29.43609837,重庆,11~50,279,17045,"天生三桥内,神鹰天坑附近7米",武隆区,107.8048115,29.43609837
石头城,107.7685774,29.42860605,重庆,11~50,280,17046,"仙山逸境内,仙山丽景西北67米",武隆区,107.7685774,29.42860605
义渡古镇,106.4949947,29.45438434,重庆,11~50,281,17047,"义渡古镇内,马桑溪供销合作社旧址附近27米",大渡口区,106.4949947,29.45438434
二佛寺,106.4951583,30.17433899,重庆,11~50,282,17048,"涞滩古镇内,二佛寺内0米",合川区,106.4951583,30.17433899
大磨滩瀑布,106.3965804,29.75752033,重庆,11~50,283,17049,北碚大磨滩湿地公园东179米,北碚区,106.3965804,29.75752033
黄安坝高山牧场,109.0650356,31.79963916,重庆,11~50,284,17667,回龙寨南473米,城口县,109.0650356,31.79963916
501艺术基地,106.5433537,29.48653851,重庆,11~50,285,17668,重庆501艺术基地内,九龙坡区,106.5433537,29.48653851
罗中立美术馆,106.3006111,29.60164759,重庆,11~50,286,17669,"四川美术学院(虎溪校区)内,四川美术学院美术馆(罗中立美术馆)内0米",沙坪坝区,106.3006111,29.60164759
黄桷坪涂鸦艺术街,106.5429644,29.48781659,重庆,11~50,287,17670,"四川美术学院(黄桷坪校区)内,国立交通大学遗址正面东96米",九龙坡区,106.5429644,29.48781659
涞滩鹫峰峡漂流,106.5040532,30.16402087,重庆,11~50,288,17671,涞滩鹫峰峡漂流附近2米,合川区,106.5040532,30.16402087
中复・北仓文创园,106.5383734,29.57871955,重庆,11~50,289,18274,"北仓文创街区内,北仓图书馆附近18米",江北区,106.5383734,29.57871955
黄生芝公馆,106.539281,29.57560009,重庆,11~50,290,18275,"中国人民解放军陆军第九五八医院内,九五八医院西75米",江北区,106.539281,29.57560009
四川美术学院虎溪校区,106.2971874,29.6029216,重庆,11~50,291,18276,"四川美术学院(虎溪校区)内,四川美术学院CAEA美术馆南77米",沙坪坝区,106.2971874,29.6029216
天星小镇,107.1083237,29.05244753,重庆,11~50,292,18277,"金佛山天星国际温泉城内,天星小镇附近0米",南川区,107.1083237,29.05244753
李子坝抗战遗址公园,106.5350168,29.55196575,重庆,11~50,293,18278,"李子坝抗战遗址公园内,根固公馆附近7米",渝中区,106.5350168,29.55196575
黄葛古道,106.5969193,29.54090837,重庆,11~50,294,18924,黄葛古道附近0米,南岸区,106.5969193,29.54090837
龙水湖松鹤岛运动公园,105.8028172,29.53738802,重庆,11~50,295,18925,"龙水湖旅游度假区内,野鸭湾附近23米",大足区,105.8028172,29.53738802
魁星楼,106.5735786,29.55972855,重庆,11~50,296,18926,"解放碑步行街内,魁星楼内0米",渝中区,106.5735786,29.55972855
小溪风景区,107.392558,29.60641286,重庆,11~50,297,18927,乌江赤壁观景台南532米,涪陵区,107.392558,29.60641286
南湖多彩植物园,106.6857455,29.31774215,重庆,11~50,298,18928,"南湖多彩植物园内,南湖湾农家乐内0米",巴南区,106.6857455,29.31774215
苏联大使馆第一处旧址,106.5530013,29.5533013,重庆,11~50,299,18929,小Q生活超市附近11米,渝中区,106.5530013,29.5533013
九凤山,106.2801223,29.52025499,重庆,11~50,300,18930,"九凤山景区内,回头湾附近19米",九龙坡区,106.2801223,29.52025499
美樱花海,106.010389,29.14174317,重庆,11~50,301,18931,稻场上南86米,江津区,106.010389,29.14174317
重庆巫山十二峰,109.8732104,31.0690724,重庆,11~50,302,18932,中国石油公寓东53米,巫山县,109.8732104,31.0690724
里隐洞景区,107.0343055,29.01823229,重庆,11~50,303,18933,公厕附近12米,南川区,107.0343055,29.01823229
铁路四村,106.5441797,29.490625,重庆,11~50,304,18934,"曦圆龙隐花园内,齐恩超市附近31米",九龙坡区,106.5441797,29.490625
苏家坝立交桥,106.5515029,29.53671278,重庆,11~50,305,19688,诚投天邻水岸东南178米,南岸区,106.5515029,29.53671278
财神殿,107.7257684,29.88616092,重庆,11~50,306,19689,"丰都鬼城-名山景区内,丰都鬼城名山景区附近16米",丰都县,107.7257684,29.88616092
三峰泉风景旅游度假区,106.8585221,29.45244361,重庆,11~50,307,19690,"重庆东温泉风景区内,三峰泉温泉酒店内0米",巴南区,106.8585221,29.45244361
栖霞宫,108.8730004,30.98666028,重庆,11~50,308,19691,栖霞宫附近1米,云阳县,108.8730004,30.98666028
石柱大风堡景区,108.3825803,30.19050333,重庆,11~50,309,19692,"大风堡景区内,观景台东北199米",石柱土家族自治县,108.3825803,30.19050333
金象・e街,106.4628492,29.56488473,重庆,11~50,310,19693,"金象左右内,B栋附近32米",沙坪坝区,106.4628492,29.56488473
五谷地度假农场,106.7234018,29.86970531,重庆,11~50,311,19694,强盛家电东89米,渝北区,106.7234018,29.86970531
荷兰花卉乐园,106.9996716,29.206647,重庆,11~50,312,20453,桃溪乐源东北61米,南川区,106.9996716,29.206647
重庆自然博物馆北碚陈列馆,106.4077093,29.81902772,重庆,11~50,313,20454,"重庆自然博物馆内,自然博物馆站西南265米",北碚区,106.4077093,29.81902772
重庆大足县步行街,105.7211303,29.69866202,重庆,11~50,314,20455,大足印象东北146米,大足区,105.7211303,29.69866202
板辽湖,106.8730157,28.85066369,重庆,11~50,315,20456,"万盛板辽金沙滩内,板辽湖附近0米",綦江区,106.8730157,28.85066369
谢家大院,106.5857,29.55823993,重庆,11~50,316,20457,湖广会馆西137米,渝中区,106.5857,29.55823993
孔园,106.58243,29.41997666,重庆,11~50,317,20458,"南温泉旅游风景区内,南温泉泉眼东南69米",巴南区,106.58243,29.41997666
百子巷,106.5789732,29.56230277,重庆,1~10,318,21342,"重庆洪崖洞内,打更老人雕塑附近9米",渝中区,106.5789732,29.56230277
佛影峡漂流景区-陡溪谷溯溪,106.702469,29.24320018,重庆,1~10,319,21343,"佛影峡生态旅游区内,佛影峡漂流景区内0米",巴南区,106.702469,29.24320018
三峡文物园,108.7078795,30.93212466,重庆,1~10,320,21344,"三峡梯城内,三峡文物园西北82米",云阳县,108.7078795,30.93212466
洛碛古镇,106.9306259,29.72766078,重庆,1~10,321,22280,洛碛中心小学校内,渝北区,106.9306259,29.72766078
荷和原乡,105.996896,29.79894726,重庆,1~10,322,22281,爱莲湖湿地生态公园附近1米,铜梁区,105.996896,29.79894726
杨家沟银杏村,107.2708801,28.9323005,重庆,1~10,323,22282,重庆市慧传农业发展有限公司西360米,南川区,107.2708801,28.9323005
樵坪山,106.6702015,29.41414807,重庆,1~10,324,22283,重庆樵坪山森林鸡场附近42米,巴南区,106.6702015,29.41414807
胜天湖,106.6624148,30.03491159,重庆,1~10,325,22284,北碚区胜天湖旅游公司附近29米,北碚区,106.6624148,30.03491159
九龙外滩广场,106.5272305,29.52395272,重庆,1~10,326,22285,"九龙滨江乐堡啤酒找乐广场内,九龙滩广场内0米",九龙坡区,106.5272305,29.52395272
和泓南山道,106.586326,29.53972998,重庆,1~10,327,22286,"乐动力江南体育中心内,江南体育馆水体中心附近15米",南岸区,106.586326,29.53972998
盛世花都翰林院,106.7250495,29.81385075,重庆,1~10,328,22287,红狮水泥南164米,渝北区,106.7250495,29.81385075
太阳湖,108.4365099,30.18876931,重庆,1~10,329,23363,太阳湖附近0米,石柱土家族自治县,108.4365099,30.18876931
崇龛镇,105.6181411,30.15370052,重庆,1~10,330,23364,"潼南区崇龛镇人民政府内,崇龛镇附近5米",潼南区,105.6181411,30.15370052
诗城博物馆,109.5462238,31.043715,重庆,1~10,331,23365,诗城博物馆内,奉节县,109.5462238,31.043715
陆游洞,109.8946302,31.07128195,重庆,1~10,332,23366,宁江渡公园西505米,巫山县,109.8946302,31.07128195
老瀛山,106.7481652,28.98141919,重庆,1~10,333,23367,"重庆綦江国家地质公园老瀛山景区内,白云观东640米",綦江区,106.7481652,28.98141919
黑石山,106.1424454,29.03858711,重庆,1~10,334,23368,聚奎中学东南259米,江津区,106.1424454,29.03858711
清源宫,105.9288732,28.98416646,重庆,1~10,335,23369,"清源宫内,清风亭附近42米",江津区,105.9288732,28.98416646
南滨路钟楼,106.5919629,29.57268427,重庆,1~10,336,23370,"长江艺术广场内,南滨路钟楼附近13米",南岸区,106.5919629,29.57268427
黑龙桥,107.8055025,29.43680163,重庆,1~10,337,23371,"天生三桥内,黑龙桥附近1米",武隆区,107.8055025,29.43680163
龙脊石,108.8984402,30.95297648,重庆,1~10,338,23372,张王庙西北662米,云阳县,108.8984402,30.95297648
北仓图书馆(北仓文创街区店),106.538267,29.57883819,重庆,1~10,339,23373,"北仓文创街区内,北仓图书馆附近0米",江北区,106.538267,29.57883819
南温泉索滑道,106.5804178,29.42208597,重庆,1~10,340,23374,"南温泉旅游风景区内,南温泉广场内0米",巴南区,106.5804178,29.42208597
巴雾峡,109.88638,31.16537942,重庆,1~10,341,23375,巴雾峡东南212米,巫山县,109.88638,31.16537942
御泉河漂流,107.4682906,29.61697005,重庆,1~10,342,24585,御泉河漂流西北144米,涪陵区,107.4682906,29.61697005
萌呀动物智慧城堡,106.4832652,29.52818413,重庆,1~10,343,24586,"江厦・星光汇内,永辉超市东85米",九龙坡区,106.4832652,29.52818413
长嘉汇海洋乐园,106.5862111,29.57823174,重庆,1~10,344,24587,"长嘉汇购物公园内,中国工商银行西52米",南岸区,106.5862111,29.57823174
夏冰洞,109.1520859,31.50837814,重庆,1~10,345,24588,鸡公梁子西北641米,巫溪县,109.1520859,31.50837814
风逸3D魔幻艺术馆,106.4669773,29.46631307,重庆,1~10,346,24589,"华生园金色蛋糕梦幻王国内,华生园博物馆附近13米",大渡口区,106.4669773,29.46631307
