景点名称,景点经度,景点纬度,景点城市,点评数量,点评数量排名_当前城市,点评数量排名_全国,places,position,wgs_longitude,wgs_latitude
天坪山云林天乡,106.8105778,29.47443239,重庆,1~10,347,24590,"天坪山云林天乡景区内,绣枫园西北139米",巴南区,106.8105778,29.47443239
聂荣臻故居,106.075056,29.23571076,重庆,1~10,348,24591,"聂荣臻故居内,聂荣臻铜像附近23米",江津区,106.075056,29.23571076
三层马路,106.5355401,29.55135035,重庆,1~10,349,24592,李子坝抗战遗址公园东南96米,渝中区,106.5355401,29.55135035
武隆梦幻谷,107.8339498,29.49562551,重庆,1~10,350,24593,梦幻谷附近1米,武隆区,107.8339498,29.49562551
第9大道好吃街,106.4169057,29.8251121,重庆,1~10,351,24594,"云景华庭内,重庆洋腾百货附近20米",北碚区,106.4169057,29.8251121
大龙山公园-龙法寺,106.5004887,29.58725486,重庆,1~10,352,24595,"大龙山公园内,重庆家心怡酒店东143米",渝北区,106.5004887,29.58725486
重庆涪陵御泉河,107.4682906,29.61697005,重庆,1~10,353,24596,御泉河漂流西北144米,涪陵区,107.4682906,29.61697005
清溪沟,106.2465799,28.89065749,重庆,1~10,354,24597,金仙洞东124米,江津区,106.2465799,28.89065749
天龙桥,107.8042483,29.43563243,重庆,1~10,355,24598,"天生三桥内,神鹰天坑西南83米",武隆区,107.8042483,29.43563243
路孔古镇,105.6483184,29.48888012,重庆,1~10,356,24599,"万灵古镇内,赵氏宗祠东101米",荣昌区,105.6483184,29.48888012
弥陀禅院,108.3858446,30.82362236,重庆,1~10,357,24600,"弥陀禅院内,10号楼附近15米",万州区,108.3858446,30.82362236
重庆大学城,106.3016999,29.61000556,重庆,1~10,358,24601,"重庆师范大学(大学城校区)内,重庆师范大学惠风苑北204米",沙坪坝区,106.3016999,29.61000556
沙心玫瑰园,106.166545,29.84282806,重庆,1~10,359,25962,沙心玫瑰园内,铜梁区,106.166545,29.84282806
丰都雪玉洞景区,107.7983579,29.78308594,重庆,1~10,360,25963,"丰都雪玉洞景区内,小卖部东北297米",丰都县,107.7983579,29.78308594
七彩铜锣民俗艺术花都,106.7476025,29.67981195,重庆,1~10,361,25964,重庆市渝北区龙兴镇天堡街道小庆超市西387米,渝北区,106.7476025,29.67981195
双碑嘉陵江大桥,106.451856,29.59886908,重庆,1~10,362,25965,嘉陵江西北143米,沙坪坝区,106.451856,29.59886908
乡村印象,106.9224783,29.60321874,重庆,1~10,363,25966,"乡村印象生态餐厅(南涪路店)内,黄桷树西南281米",巴南区,106.9224783,29.60321874
乌江长廊,107.4123007,29.70093692,重庆,1~10,364,25967,涪陵万达广场西362米,涪陵区,107.4123007,29.70093692
彩色森林,106.9327592,29.49341207,重庆,1~10,365,25968,"彩色森林养生旅游区内,感恩牧场西南66米",巴南区,106.9327592,29.49341207
黄水药用植物园,108.3890908,30.22784245,重庆,1~10,366,25969,秘境黄水奇幻乐园附近6米,石柱土家族自治县,108.3890908,30.22784245
鹰嘴岩,106.955709,29.15798055,重庆,1~10,367,25970,鹰嘴岩附近0米,南川区,106.955709,29.15798055
四川美术学院停车场,106.2944798,29.60350064,重庆,1~10,368,25971,"四川美术学院(虎溪校区)内,四川美术学院综合楼北156米",沙坪坝区,106.2944798,29.60350064
綦江国家地质公园老瀛山景区,106.7481481,28.98142131,重庆,1~10,369,25972,"重庆綦江国家地质公园老瀛山景区内,白云观东638米",綦江区,106.7481481,28.98142131
涂山,106.6045456,29.55609495,重庆,1~10,370,25973,"涂山雕塑公园内,涂山观景台北94米",南岸区,106.6045456,29.55609495
涂井汉墓群,108.1315692,30.44939193,重庆,1~10,371,25974,付家G东南375米,忠县,108.1315692,30.44939193
大圆祥博物馆,106.220438,29.38640469,重庆,1~10,372,25975,重庆市璧山陶瓷有限公司附近32米,璧山区,106.220438,29.38640469
朝天门号两江夜景游轮,106.5897889,29.56676014,重庆,1~10,373,25976,重庆港六码头内,渝中区,106.5897889,29.56676014
山城巷历史文化风貌区,106.5688502,29.55006722,重庆,1~10,374,25977,"山城巷历史文化风貌区内,山城步道附近2米",渝中区,106.5688502,29.55006722
三叠瀑布,106.9743696,28.8664557,重庆,1~10,375,25978,"黑山谷风景区内,三叠瀑布附近0米",綦江区,106.9743696,28.8664557
荆竹峡汉风神谷景区,109.6450494,31.54777043,重庆,1~10,376,27533,"汉风神谷景区内,巫真雕像西北143米",巫溪县,109.6450494,31.54777043
尚古村落,106.896364,28.99650979,重庆,1~10,377,27534,重庆青山小隐民宿西南521米,綦江区,106.896364,28.99650979
梅园,106.4342606,29.58163498,重庆,1~10,378,27535,"歌乐山烈士陵园内,梅园内0米",沙坪坝区,106.4342606,29.58163498
土地岩景区,106.4057911,28.62174066,重庆,1~10,379,27536,土地岩景区附近28米,江津区,106.4057911,28.62174066
文庙,106.2268802,29.59294257,重庆,1~10,380,27537,璧山区北83米,璧山区,106.2268802,29.59294257
重庆邮电大学,106.6079648,29.53232106,重庆,1~10,381,27538,"重庆邮电大学内,风华运动场南92米",南岸区,106.6079648,29.53232106
乱吼一条街,107.1861102,29.66234804,重庆,1~10,382,27539,"美心红酒小镇内,蔺市客运站内0米",涪陵区,107.1861102,29.66234804
缙云寺,106.395917,29.8359634,重庆,1~10,383,27540,"缙云山内,重庆市植物园(缙云路)内0米",北碚区,106.395917,29.8359634
龙多山,106.0110899,30.26091184,重庆,1~10,384,27541,龙佛寺西北279米,合川区,106.0110899,30.26091184
玻璃眺台,107.7000001,29.38,重庆,1~10,385,27542,桐子坝北116米,武隆区,107.7000001,29.38
张自忠将军墓,106.4105999,29.80967008,重庆,1~10,386,27543,"张自忠烈士陵园内,张自忠将军墓附近0米",北碚区,106.4105999,29.80967008
白象居,106.5854803,29.55601802,重庆,1~10,387,27544,"白象居内,菜鸟驿站东南53米",渝中区,106.5854803,29.55601802
夜游两江,106.589438,29.56361575,重庆,1~10,388,27545,总统七号游轮附近28米,渝中区,106.589438,29.56361575
川河盖,109.1529413,28.55230753,重庆,1~10,389,27546,"川河盖旅游度假区内,鸡冠岩西北390米",秀山土家族苗族自治县,109.1529413,28.55230753
天眼洞花岭,106.610514,30.01246178,重庆,1~10,390,27547,"金刀峡风景区内,天眼洞花岭风景区附近1米",北碚区,106.610514,30.01246178
黄角坪,107.3662312,29.47106692,重庆,1~10,391,27548,保禾村公益电影放映点西北549米,武隆区,107.3662312,29.47106692
四川美术学院（虎溪校区）,106.3007398,29.60286094,重庆,1~10,392,29504,"四川美术学院(虎溪校区)内,四川美术学院美术馆(罗中立美术馆)北118米",沙坪坝区,106.3007398,29.60286094
人民公园,106.5822451,29.55590176,重庆,1~10,393,29505,望龙门小学内,渝中区,106.5822451,29.55590176
乌江画廊（武隆段）,107.5376823,29.41254024,重庆,1~10,394,29506,万卷书码头东南302米,武隆区,107.5376823,29.41254024
大足石刻博物馆,105.794555,29.74556977,重庆,1~10,395,29507,"大足石刻宝顶山景区内,大足石刻博物馆内0米",大足区,105.794555,29.74556977
天池百花谷,106.9254624,29.81923963,重庆,1~10,396,29508,青龙嘴东北123米,渝北区,106.9254624,29.81923963
骆来山风景名胜区,106.3770606,29.03755933,重庆,1~10,397,29509,"骆崃山风景名胜区内,擎天阁东北176米",江津区,106.3770606,29.03755933
武隆岩溶地质公园,107.7964247,29.43553276,重庆,1~10,398,29510,"天生三桥内,天龙桥北94米",武隆区,107.7964247,29.43553276
三倒拐,107.0730677,29.82721546,重庆,1~10,399,29511,凤鸣家园西69米,长寿区,107.0730677,29.82721546
荷塘悦色,106.4274656,29.71564789,重庆,1~10,400,29512,板栗院西85米,沙坪坝区,106.4274656,29.71564789
金佛山生态石林,107.1971205,29.03159976,重庆,1~10,401,29513,古佛洞北南62米,南川区,107.1971205,29.03159976
联合国际大厦,106.5817404,29.55727975,重庆,1~10,402,29514,"解放碑步行街内,联合国际写字楼内0米",渝中区,106.5817404,29.55727975
通远门,106.5668996,29.55515643,重庆,1~10,403,29515,"重庆古城墙-通远门段城门及城墙内,通远楼・星临书局附近0米",渝中区,106.5668996,29.55515643
鲁祖庙,106.572574,29.55541877,重庆,1~10,404,29516,"解放碑步行街内,鲁祖庙花市附近21米",渝中区,106.572574,29.55541877
花坝旅游景区,106.7156165,28.48042104,重庆,1~10,405,29517,花坝旅游度假区北60米,綦江区,106.7156165,28.48042104
重庆三峡移民纪念馆,108.4018035,30.80877036,重庆,1~10,406,29518,"三峡移民纪念馆内,国家电网充电站东北74米",万州区,108.4018035,30.80877036
洪崖洞重逢1980街区,106.579002,29.56208914,重庆,1~10,407,29519,"重庆洪崖洞内,打更老人雕塑附近20米",渝中区,106.579002,29.56208914
小黄帽重庆市安全应急科普中心,106.5724607,29.5747289,重庆,1~10,408,29520,"绿色星球动物主题公园内,重庆市小黄帽安全应急科普中心附近24米",江北区,106.5724607,29.5747289
熊猫宝贝亲子庄园,106.6517085,29.30138748,重庆,1~10,409,31957,街电附近40米,巴南区,106.6517085,29.30138748
咸宁半壁山,106.6444281,29.50029727,重庆,1~10,410,31958,"南岸区人民政府内,南岸区新行政中心南82米",南岸区,106.6444281,29.50029727
西流沱小镇,106.5124174,29.47678684,重庆,1~10,411,31959,"融汇西流沱滨江旅游区内,融汇西流沱小镇内0米",巴南区,106.5124174,29.47678684
彭水,108.1655463,29.29375642,重庆,1~10,412,31960,彭水苗族土家族自治县人民政府内0米,彭水苗族土家族自治县,108.1655463,29.29375642
板辽湖金沙滩,106.8816082,28.83816512,重庆,1~10,413,31961,"万盛板辽金沙滩内,重庆鸿展农庄酒店附近36米",綦江区,106.8816082,28.83816512
铜梁龙景区,105.94454,29.94407274,重庆,1~10,414,31962,铜梁龙景区附近0米,铜梁区,105.94454,29.94407274
军哥书屋,106.5466126,29.49038699,重庆,1~10,415,31963,军哥书屋附近0米,九龙坡区,106.5466126,29.49038699
黄桷垭老街,106.6042083,29.5363415,重庆,1~10,416,31964,"黄桷垭老街内,海都宾馆附近27米",南岸区,106.6042083,29.5363415
金沙寨,106.3516165,29.21182202,重庆,1~10,417,31965,垮石岩西北60米,江津区,106.3516165,29.21182202
来福士恋着梦幻星空艺术馆,106.5878571,29.5650541,重庆,1~10,418,31966,"重庆来福士内,重庆雅诗阁来福士服务公寓西北61米",渝中区,106.5878571,29.5650541
红岩顶,108.7615792,28.74165099,重庆,1~10,419,31967,红岩顶东北111米,酉阳土家族苗族自治县,108.7615792,28.74165099
重庆合川区南城商业步行街,106.2755471,29.97472765,重庆,1~10,420,31968,合川区行政服务大厅西174米,合川区,106.2755471,29.97472765
西秦会馆,108.3517298,28.91949057,重庆,1~10,421,31969,"龚滩古镇内,文昌阁西50米",酉阳土家族苗族自治县,108.3517298,28.91949057
大佛寺,105.9011778,29.32530185,重庆,1~10,422,31970,"大佛寺内,养心阁附近47米",永川区,105.9011778,29.32530185
大风堡原始森林,108.3762198,30.18156695,重庆,1~10,423,31971,悬空玻璃廊桥西南929米,石柱土家族自治县,108.3762198,30.18156695
重庆高粱酒文化体验馆,106.5879264,29.5588687,重庆,1~10,424,31972,"湖广会馆内,树冠咖啡东北257米",渝中区,106.5879264,29.5588687
长安汽车工业园,106.5423404,29.57789891,重庆,1~10,425,31973,"平常人家内,A栋附近26米",江北区,106.5423404,29.57789891
金科・廊桥水乡二组团,106.2878736,29.58237396,重庆,1~10,426,31974,"金科廊桥天都内,金科廊桥水乡二组团内0米",沙坪坝区,106.2878736,29.58237396
广阳岛油菜花田,106.7069883,29.55482064,重庆,1~10,427,31975,"广阳岛内,花木林内0米",南岸区,106.7069883,29.55482064
歌乐山桃花谷,106.4050685,29.58910083,重庆,1~10,428,31976,"颐麓欢歌生态园内,伊斯特庄园内0米",沙坪坝区,106.4050685,29.58910083
重庆大学中国建筑图书馆,106.4604487,29.56657008,重庆,1~10,429,31977,"重庆大学(B区)内,重庆大学B区-图书馆附近13米",沙坪坝区,106.4604487,29.56657008
迎龙峡旅游景区,106.6613263,29.44707539,重庆,1~10,430,31978,"重庆迎龙峡景区内,中湖山庄附近45米",巴南区,106.6613263,29.44707539
巫山县博物馆,109.8829022,31.07297557,重庆,1~10,431,31979,"巫山博物馆内,渝东古玩城附近10米",巫山县,109.8829022,31.07297557
重庆人民广场,106.5527951,29.56210548,重庆,1~10,432,31980,"重庆人民广场内,重庆特产超市东北136米",渝中区,106.5527951,29.56210548
南开中学,106.4621406,29.5611555,重庆,1~10,433,31981,清华源大厦西北127米,沙坪坝区,106.4621406,29.5611555
南城天街,106.5410586,29.40048358,重庆,1~10,434,31982,典雅龙领国际东北169米,巴南区,106.5410586,29.40048358
龙泉洞,106.4864711,29.5523307,重庆,1~10,435,31983,中国国际广播电台电力厂旧址东111米,沙坪坝区,106.4864711,29.5523307
花灯广场,108.9926039,28.44369414,重庆,1~10,436,35440,"秀山花灯广场内,秀山县园林局花灯广场管理所西南121米",秀山土家族苗族自治县,108.9926039,28.44369414
龙桥河,109.3648003,30.54584284,重庆,1~10,437,35441,奉节龙桥河景区附近0米,奉节县,109.3648003,30.54584284
龙洞湾,108.6736684,31.82271194,重庆,1~10,438,35442,椿树坪西北747米,城口县,108.6736684,31.82271194
金海湾滨江公园,106.4671594,29.61658219,重庆,1~10,439,35443,"金海湾滨江公园内,时光灯塔东82米",渝北区,106.4671594,29.61658219
南岸区图书馆,106.5626809,29.52226854,重庆,1~10,440,35444,南岸区图书馆附近1米,南岸区,106.5626809,29.52226854
凉风村,106.8435282,28.82089036,重庆,1~10,441,35445,凉风幼儿园西305米,綦江区,106.8435282,28.82089036
学林中心商业街,106.5970788,29.66675376,重庆,1~10,442,35446,渝北果园新村附近47米,渝北区,106.5970788,29.66675376
光明殿,106.6134131,28.96871854,重庆,1~10,443,35447,"綦江古剑山风景区内,古剑亭东98米",綦江区,106.6134131,28.96871854
阳光大草坪,106.5836908,29.71501642,重庆,1~10,444,35448,"重庆中央公园内,阳光大草坪附近19米",渝北区,106.5836908,29.71501642
大学城滑板公园,106.3065982,29.59971998,重庆,1~10,445,35449,"大学城中央公园内,大学城滑板公园内0米",沙坪坝区,106.3065982,29.59971998
潼南,105.838946,30.19203937,重庆,1~10,446,35450,创优汇智慧超市西76米,潼南区,105.838946,30.19203937
龙会花谷,109.4967847,30.91937163,重庆,1~10,447,35451,龙会花谷附近1米,奉节县,109.4967847,30.91937163
净音寺,106.6125391,28.96819022,重庆,1~10,448,35452,"綦江古剑山风景区内,三佛岩附近34米",綦江区,106.6125391,28.96819022
桃花村,107.5360151,29.623169,重庆,1~10,449,35453,枣知天下北375米,涪陵区,107.5360151,29.623169
时光穿越梦幻馆,106.5796585,29.55599374,重庆,1~10,450,35454,"解放碑步行街内,重庆环球半岛国际大酒店(半岛国际商务大厦店)内0米",渝中区,106.5796585,29.55599374
皇华城遗址,108.0932684,30.33627017,重庆,1~10,451,35455,皇华城西北90米,忠县,108.0932684,30.33627017
黄瓜山百里果乡,105.8516252,29.24396801,重庆,1~10,452,35456,重庆市永川区黄瓜山小学校西146米,永川区,105.8516252,29.24396801
夹滩镇,106.2744841,29.15196238,重庆,1~10,453,35457,华新水泥北58米,江津区,106.2744841,29.15196238
七彩祥耘开心农场,106.406659,29.65815269,重庆,1~10,454,35458,绿瀚开心农场北231米,沙坪坝区,106.406659,29.65815269
周易园,107.4176994,29.73508207,重庆,1~10,455,35459,瞧院东北221米,涪陵区,107.4176994,29.73508207
三多桥白鹭园,106.3677904,29.48974139,重庆,1~10,456,35460,重庆市九龙坡区白市驿镇第一中学东北179米,九龙坡区,106.3677904,29.48974139
江津花小原,106.4800032,28.63752927,重庆,1~10,457,35461,"花小原景区内,三生石东南135米",江津区,106.4800032,28.63752927
巴文化雕塑区,106.4288546,29.56728822,重庆,1~10,458,35462,"歌乐山森林公园内,飞云桥南175米",沙坪坝区,106.4288546,29.56728822
宝顶山石刻,105.7973317,29.7491738,重庆,1~10,459,35463,"大足石刻宝顶山景区内,赵智凤像附近42米",大足区,105.7973317,29.7491738
水口寺瀑布,106.3598809,28.65129834,重庆,1~10,460,35464,水口寺景区附近5米,江津区,106.3598809,28.65129834
大草原,107.7569145,29.50665155,重庆,1~10,461,35465,"仙女山国家森林公园内,大草原-小卖部附近41米",武隆区,107.7569145,29.50665155
海棠溪筒子楼,106.5879841,29.54344742,重庆,1~10,462,35466,"海棠溪筒子楼内,好邻居超市西49米",南岸区,106.5879841,29.54344742
重庆中药博物馆,106.6022197,29.5285415,重庆,1~10,463,35467,"重庆市中药研究院内,重庆中药博物馆附近1米",南岸区,106.6022197,29.5285415
保卫中国同盟总部旧址,106.5490362,29.5542523,重庆,1~10,464,35468,国际商务大厦附近20米,渝中区,106.5490362,29.5542523
桥头观音,106.4522905,29.58064435,重庆,1~10,465,35469,"磁器口古镇内,水月观音附近1米",沙坪坝区,106.4522905,29.58064435
马房湾66号七彩巷,106.4476028,29.56257001,重庆,1~10,466,35470,大川花园西北149米,沙坪坝区,106.4476028,29.56257001
史迪威将军博物馆,106.5333613,29.55061564,重庆,1~10,467,35471,"史迪威博物馆内,同盟国中国战区统帅部参谋长官邸旧址附近38米",渝中区,106.5333613,29.55061564
高庙坝生态旅游区,106.5653548,28.7932535,重庆,1~10,468,35472,"高庙坝旅游度假区内,中国邮政储蓄银行东北62米",綦江区,106.5653548,28.7932535
猿啸峰,106.3916597,29.84322123,重庆,1~10,469,35473,"缙云山内,景区-休息廊北518米",北碚区,106.3916597,29.84322123
聚云峰,106.393835,29.83781536,重庆,1~10,470,35474,"缙云山内,重庆市植物园(缙云路)内0米",北碚区,106.393835,29.83781536
（重庆黄水旅游度假区）秘境黄水奇幻乐园,108.3891545,30.22786253,重庆,1~10,471,41176,秘境黄水奇幻乐园附近4米,石柱土家族自治县,108.3891545,30.22786253
轻轨建设者纪念日墙,106.5322894,29.54967429,重庆,1~10,472,41177,江山华庭南85米,渝中区,106.5322894,29.54967429
山王坪银杏林场,107.3340986,29.11036436,重庆,1~10,473,41178,"银杏树下酒店内,山王坪银杏林场附近1米",南川区,107.3340986,29.11036436
银窝滩,108.3160022,29.06619856,重庆,1~10,474,41179,龙门峡北56米,彭水苗族土家族自治县,108.3160022,29.06619856
重庆美术馆,106.5767483,29.55997741,重庆,1~10,475,41180,"解放碑步行街内,重庆国泰艺术中心内0米",渝中区,106.5767483,29.55997741
少云公园,106.0532034,29.84496367,重庆,1~10,476,41181,少云公园内,铜梁区,106.0532034,29.84496367
西城商街,106.2522453,29.28207989,重庆,1~10,477,41182,西城商街-B栋内0米,江津区,106.2522453,29.28207989
重庆5D玻璃桥,106.6681033,29.445233,重庆,1~10,478,41183,"重庆迎龙峡景区内,重庆5D玻璃桥附近0米",巴南区,106.6681033,29.445233
重庆工业博物馆,106.4921893,29.47022926,重庆,1~10,479,41184,"重庆工业博物馆内,重钢旧址附近29米",大渡口区,106.4921893,29.47022926
大宁古城,109.6320493,31.39767932,重庆,1~10,480,41185,大宁古城附近0米,巫溪县,109.6320493,31.39767932
湖广填四川移民博物馆,106.58715,29.55795008,重庆,1~10,481,41186,"湖广会馆内,禹王宫附近26米",渝中区,106.58715,29.55795008
邹容烈士纪念碑,106.5532199,29.55191034,重庆,1~10,482,41187,"邹容公园内,邹容烈士纪念碑附近1米",渝中区,106.5532199,29.55191034
小南海景区后坝民俗生态博物馆,108.6861155,29.65243719,重庆,1~10,483,41188,"土家十三寨内,周氏节孝碑南60米",黔江区,108.6861155,29.65243719
四川省立重庆女子师范学校旧址,106.1368699,29.06084077,重庆,1~10,484,41189,"重庆工商学校内,国家电网充电站附近30米",江津区,106.1368699,29.06084077
巫溪大宁河,109.6367834,31.461133,重庆,1~10,485,41190,大宁河风景区附近8米,巫溪县,109.6367834,31.461133
绿地冰雪节,106.4757799,29.47192622,重庆,1~10,486,41191,重庆公运危险品运输分公司西南123米,大渡口区,106.4757799,29.47192622
秀山花灯广场,108.993091,28.44431532,重庆,1~10,487,41192,"秀山花灯广场内,秀山县园林局花灯广场管理所附近40米",秀山土家族苗族自治县,108.993091,28.44431532
仙女洞,107.3667961,29.68016647,重庆,1~10,488,41193,重庆思远集装箱有限公司东北104米,涪陵区,107.3667961,29.68016647
妙高山,105.5791453,29.73229984,重庆,1~10,489,41194,红庙子北531米,大足区,105.5791453,29.73229984
重庆建川海疆博物馆（166舰）,106.5296829,29.51563757,重庆,1~10,490,41195,重庆建川海疆博物馆东北62米,九龙坡区,106.5296829,29.51563757
重庆海底世界,106.6047398,29.60901051,重庆,1~10,491,41196,2栋西南139米,南岸区,106.6047398,29.60901051
Tim艺术公园,106.5855189,29.57812485,重庆,1~10,492,41197,"长嘉汇购物公园内,Manner Coffee西南107米",南岸区,106.5855189,29.57812485
仙女山国家森林公园-仙女山观光火车站木梯子站,107.7442977,29.50602239,重庆,1~10,493,41198,"仙女山国家森林公园内,小卖部附近12米",武隆区,107.7442977,29.50602239
恐龙化石遗址,108.8614127,29.44878029,重庆,1~10,494,41199,安家垭口东558米,黔江区,108.8614127,29.44878029
峨岭公园,106.536287,29.54966915,重庆,1~10,495,41200,"鹅岭正街小区内,鹅岭公园内0米",渝中区,106.536287,29.54966915
卢作孚纪念馆,106.4390102,29.83356979,重庆,1~10,496,41201,卢作孚纪念馆内,北碚区,106.4390102,29.83356979
辛亥革命十先列纪念碑,106.5374695,29.54873005,重庆,1~10,497,41202,"鹅岭正街小区内,鹅岭公园内0米",渝中区,106.5374695,29.54873005
龙缸国家地质公园博物馆,109.0043716,30.67145516,重庆,1~10,498,41203,"龙缸景区内,重庆云阳龙缸国家地质公园博物馆东南96米",云阳县,109.0043716,30.67145516
重庆市梁平区百里竹海-蝶海景区,107.5425522,30.68392504,重庆,1~10,499,41204,"蝴蝶谷内,重庆市梁平区百里竹海-蝶海景区附近0米",梁平区,107.5425522,30.68392504
垫江大观园,107.4045604,30.42207175,重庆,1~10,500,41205,垫江油菜花大观园内,垫江县,107.4045604,30.42207175
沙塘口公园,107.3905774,29.45941679,重庆,1~10,501,41206,沙塘口公园附近0米,武隆区,107.3905774,29.45941679
明氏祠堂,106.7935826,29.6982976,重庆,1~10,502,41207,"龙兴古镇内,明氏祠堂西61米",渝北区,106.7935826,29.6982976
丰都杜氏庄园,107.6823902,30.19190788,重庆,1~10,503,41208,董家镇彭家坝中航希望小学北112米,丰都县,107.6823902,30.19190788
渝高公园,106.48859,29.52900083,重庆,1~10,504,41209,"渝高公园内,致远亭附近42米",九龙坡区,106.48859,29.52900083
九长路步行街,106.2684204,29.99151711,重庆,1~10,505,41210,久长路社区西南115米,合川区,106.2684204,29.99151711
天子城,108.5678991,30.72300864,重庆,1~10,506,41211,万州区长滩镇林场村卫生室西北817米,万州区,108.5678991,30.72300864
三峡天坑乡村公园,109.4499104,30.65611922,重庆,1~10,507,41212,"奉节县兴隆镇人民政府内,兴隆镇附近1米",奉节县,109.4499104,30.65611922
杨虎城将军纪念室,106.4313797,29.5777437,重庆,1~10,508,41213,"歌乐山烈士陵园内,戴公祠内0米",沙坪坝区,106.4313797,29.5777437
重庆光环购物公园室内植物园“沐光森林”,106.5292917,29.64938412,重庆,1~10,509,41214,"光环购物公园内,Apple授权专营店附近0米",渝北区,106.5292917,29.64938412
重庆自然博物馆-西广场,106.4069507,29.81787877,重庆,1~10,510,41215,"重庆自然博物馆内,自然博物馆站西南416米",北碚区,106.4069507,29.81787877
白马洞,106.4874386,29.83724743,重庆,1~10,511,41216,中心村王家院子北645米,北碚区,106.4874386,29.83724743
大田湾体育馆,106.546765,29.55501184,重庆,1~10,512,41217,"重庆市体育竞赛中心内,重庆市大田湾全民健身中心内0米",渝中区,106.546765,29.55501184
临江公园,106.5118092,29.5301856,重庆,1~10,513,41218,"重庆医科大学附属第一医院内,门诊部附近7米",渝中区,106.5118092,29.5301856
重庆十八梯传统风貌区,106.5731466,29.55269728,重庆,1~10,514,41219,"重庆十八梯内,186号楼附近7米",渝中区,106.5731466,29.55269728
中心展览馆,106.6309116,29.55682639,重庆,1~10,515,41220,"重庆南山植物园内,杜月笙别墅旧址东南57米",南岸区,106.6309116,29.55682639
重庆云端之眼观景台,106.5821656,29.55730127,重庆,1~10,516,41221,"解放碑步行街内,联合国际写字楼内0米",渝中区,106.5821656,29.55730127
龚滩古镇乌江画廊,108.772912,29.29929865,重庆,1~10,517,41222,"濯水景区内,濯水古镇内0米",黔江区,108.772912,29.29929865
西南大学生物技术学院-陈列室,106.4185325,29.81376086,重庆,1~10,518,41223,"西南大学内,生物技术学院陈列室附近0米",北碚区,106.4185325,29.81376086
江北石家花园,106.484873,29.56806208,重庆,1~10,519,41224,徐悲鸿小学东130米,江北区,106.484873,29.56806208
綦江博物馆,106.6533559,29.01723358,重庆,1~10,520,41225,"綦江博物馆内,地质厅北64米",綦江区,106.6533559,29.01723358
石桥水乡湿地公园,108.2427969,30.56773079,重庆,1~10,521,41226,"石桥水乡湿地公园内,柑橘林南129米",万州区,108.2427969,30.56773079
大圆洞国家森林公园,106.2718304,28.91295343,重庆,1~10,522,41227,盖堂寺东119米,江津区,106.2718304,28.91295343
太保祠,107.7298918,30.5207718,重庆,1~10,523,41228,拱桥坝西北520米,梁平区,107.7298918,30.5207718
